region,price,garage,bedrooms,bathrooms,datebuilt,floorarea,detached,fireplace,agelessthan15,age65andover,nonwhite,unemploy,ownocc,carsperhh,manuf
6,25500,0,3,2,1973,70.4,0,0,26.86,8.5,0.038,11.38,52.706,0.583,23.273
6,17450,0,1,1,1982,40.9,0,0,23.22,16.74,1.836,11.73,60.44,0.402,11.524
6,22450,0,2,1,1883,78.6,0,1,20.41,15.79,0.153,5.18,59.692,0.952,12.325
1,22500,0,2,1,1912,81.9,0,0,19.53,15.82,2.881,4.84,59.046,0.745,12.618
5,53500,0,3,1,1959,83.9,0,0,19.69,18.55,0.626,8.08,57.439,0.587,12.593
6,48100,1,2,1,1952,104.8,0,0,18.18,19.69,1.012,0.96,61.262,0.849,7.251
1,29250,0,3,1,1894,136.8,0,0,24.88,17.21,1.653,12.4,59.455,0.178,19.546
1,35450,1,3,1,1975,65.3,0,0,21.82,16.26,1.102,3.46,53.283,0.501,12.353
6,21500,0,2,2,1910,95.6,0,0,21.61,18.59,0.302,9.18,58.23,0.772,16.16
6,28250,0,1,1,1900,76.8,0,0,23.66,15.52,3.506,11.16,51.821,0.277,11.491
6,25000,0,2,1,1940,97.3,0,1,20.41,17.39,0.15,4.18,58.904,0.795,26.654
1,39000,0,1,1,1992,61.1,0,0,20.08,19.34,0.538,1.98,58.045,0.397,22.87
1,18450,0,1,1,1990,19,0,0,17.81,21.11,0.896,8.08,60.098,0.481,24.694
2,58980,0,2,1,1984,51.4,0,0,14.67,19.57,11.567,12.98,61,0.037,9.715
3,63000,1,3,1,1947,106,0,0,19.05,18.55,1.974,5.58,54.916,1.126,16.426
3,36000,0,1,2,1992,73.3,0,0,20.97,15.21,2.03,3.54,54.532,0.698,13.406
6,34500,0,3,1,1972,99.3,0,1,25.06,9.92,0.445,7.25,57.785,0.816,26.701
6,26500,0,2,1,1964,95.5,0,1,24.35,12.2,0.944,2.12,61.229,0.484,30.65
5,21000,0,1,1,1954,47.5,0,1,25.15,12.2,0.288,6.12,53.077,0.534,21.943
5,23000,0,1,1,1946,49.7,0,0,23.95,10.2,1.055,4.12,56.172,0.574,29.386
6,31450,1,2,1,1966,62.9,0,0,27.97,9.72,0.801,3.36,54.523,0.548,23.987
1,38500,0,2,1,1978,66.2,0,1,18.04,16.75,0.006,5.29,52.507,0.599,17.284
1,22450,0,1,1,1899,80.7,0,0,23.68,18.81,2.068,7.4,57.205,0.054,17.198
1,23450,0,2,1,1923,68.5,0,0,23.53,15.68,0.988,11.19,51.981,0.591,10.858
