"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","One thing I can say about the bottom teams in the @nba this season is that they are playing hard and not rolling over.",FALSE,0,NA,2019-03-11 03:12:04,FALSE,NA,"1104943039078912001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oclark38",0,FALSE,FALSE,NA,NA
"2","RT @RobKSports: Last five back-to-back NBA MVP winners (points - assists - rebounds):

- Steph Curry: 26.9 - 7.2 - 4.8
- Lebron James: 26.9…",FALSE,0,NA,2019-03-11 03:11:34,FALSE,NA,"1104942913845452802",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ibrandonhopkins",130,TRUE,FALSE,NA,NA
"3","RT @SalmanAliNBA: Since the All-Star break, the Houston Rockets have the 7th best defense in the NBA.",FALSE,0,NA,2019-03-11 03:10:19,FALSE,NA,"1104942600291840000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LuisP___",15,TRUE,FALSE,NA,NA
"4","RT @HoustonRockets: 📸 #PhotoOfTheGame 📸

https://t.co/UExDYfALFf | @rokitofficial https://t.co/mrfeO9wFPP",FALSE,0,NA,2019-03-11 03:10:07,FALSE,NA,"1104942549582733312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PhillipESanchez",53,TRUE,FALSE,NA,NA
"5","RT @HoustonRockets: 📸 #PhotoOfTheGame 📸

https://t.co/UExDYfALFf | @rokitofficial https://t.co/mrfeO9wFPP",FALSE,0,NA,2019-03-11 03:09:18,FALSE,NA,"1104942344921583618",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","batuka031870",53,TRUE,FALSE,NA,NA
"6","RT @SalmanAliNBA: Since the All-Star break, the Houston Rockets have the 7th best defense in the NBA.",FALSE,0,NA,2019-03-11 03:08:47,FALSE,NA,"1104942213702799364",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thecd23",15,TRUE,FALSE,NA,NA
"7","RT @umcornell: i’m not cut out for this dating or “talking” shit.. my stupid ass love too hard https://t.co/HoSlf1lvvq",FALSE,0,NA,2019-03-11 03:08:09,FALSE,NA,"1104942053811736577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NBA_Ferris",2619,TRUE,FALSE,NA,NA
"8","RT @PointGods: Who’s the smartest NBA player ever?",FALSE,0,NA,2019-03-11 03:07:31,FALSE,NA,"1104941895044812800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HighlightRealm2",6,TRUE,FALSE,NA,NA
"9","RT @HoustonRockets: 📸 #PhotoOfTheGame 📸

https://t.co/UExDYfALFf | @rokitofficial https://t.co/mrfeO9wFPP",FALSE,0,NA,2019-03-11 03:06:40,FALSE,NA,"1104941682834006017",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","cuvaev_sergei8",53,TRUE,FALSE,NA,NA
"10","RT @RobKSports: Last five back-to-back NBA MVP winners (points - assists - rebounds):

- Steph Curry: 26.9 - 7.2 - 4.8
- Lebron James: 26.9…",FALSE,0,NA,2019-03-11 03:06:32,FALSE,NA,"1104941647513694209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HouRocketsBR",130,TRUE,FALSE,NA,NA
"11","If the Rockets win on Wednesday I'm getting a 2019 NBA Champions tattoo on Thursday*

*the Thursday after we win th… https://t.co/OQYIv2qjRN",FALSE,0,NA,2019-03-11 03:05:58,TRUE,NA,"1104941504731275266",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DexHinton",0,FALSE,FALSE,NA,NA
"12","RT @RobKSports: Last five back-to-back NBA MVP winners (points - assists - rebounds):

- Steph Curry: 26.9 - 7.2 - 4.8
- Lebron James: 26.9…",FALSE,0,NA,2019-03-11 03:05:23,FALSE,NA,"1104941357460803584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JBostick13",130,TRUE,FALSE,NA,NA
"13","RT @HoustonRockets: 📸 #PhotoOfTheGame 📸

https://t.co/UExDYfALFf | @rokitofficial https://t.co/mrfeO9wFPP",FALSE,0,NA,2019-03-11 03:04:52,FALSE,NA,"1104941227558887424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Peralta_0610",53,TRUE,FALSE,NA,NA
"14","RT @HoustonRockets: 📸 #PhotoOfTheGame 📸

https://t.co/UExDYfALFf | @rokitofficial https://t.co/mrfeO9wFPP",FALSE,0,NA,2019-03-11 03:02:10,FALSE,NA,"1104940550820712449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pame_trevino",53,TRUE,FALSE,NA,NA
"15","The #Suns end an 18 game win streak against the #warriors, 1st win in 5 years #NBA",FALSE,0,NA,2019-03-11 03:00:51,FALSE,NA,"1104940217692237825",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BrandNewWes",0,FALSE,FALSE,NA,NA
